Week,Date,Day,Weight,Calories,Macro Split (C/F/P),Protein (g),Workout,Conditioning (cal estimated using apps),Steps,Cal (cond),Cal (walk),Notes
,2022-08-23,Tu,182,1859,,148,,,7234,,289.36,
,2022-08-24,W,182,2027,,153,"Weighted RPushup, Weighted Inverted Row, Weighted Plank",Bike (30 min),7459,,298.36,
,2022-08-25,Th,,1971,,139,,Bike (25 min),7483,,299.32,
,2022-08-26,F,,2175,,173,,,9113,,364.52,
,2022-08-27,Sa,,2284,,112,,,8489,,339.56,
,2022-08-28,Su,,1970,,144,,,7769,,310.76,
119,2022-08-29,M,,1936,,145,,,8082,,323.28,
,2022-08-30,Tu,,1992,,146,,,7323,,292.92,
,2022-08-31,W,,1977,,165,"Weighted PullUp, Weighted Dip, Lat Raise",,7286,,291.44,
,2022-09-01,Th,183.2,,,,,,7508,,300.32,
,2022-09-02,F,,,,,,,7692,,307.68,
,2022-09-03,Sa,,,,,,Bike (30 min),7483,,299.32,
,2022-09-04,Su,,,,,,Bike (30 min),7309,,292.36,
120,2022-09-05,M,,2157,,158,"Madcow W1D1: SwissBar Press, DTbarDL, BBrow",Bike (15 min),7972,,318.88,
,2022-09-06,Tu,,1562,,138,,Bike (25 min),7094,,283.76,
,2022-09-07,W,182.4,1865,,156,,,8000,,320,
,2022-09-08,Th,182.4,2347,,152,,,7137,,285.48,
,2022-09-09,F,,2010,,162,,Bike (30 min),7710,,308.4,
,2022-09-10,Sa,182.4,1860,,117,,,5119,,204.76,
,2022-09-11,Su,,2019,,125,,Bike (25 min),6320,,252.8,
121,2022-09-12,M,182.2,1849,,149,,,7629,,305.16,
,2022-09-13,Tu,,1767,,152,"Madcow W1D2: Weighted Rpushup, TBarDL",,7239,,289.56,
,2022-09-14,W,,1957,,149,,,7146,,285.84,
,2022-09-15,Th,,2197,,171,"Madcow W1D3: SwissBar Press, DTbarDL, BBrow",,7250,,290,
,2022-09-16,F,,2064,,157,,Bike (30 min),7052,,282.08,
,2022-09-17,Sa,182.4,1973,,146,,,7854,,314.16,
,2022-09-18,Su,,2231,,139,"Madcow W2D1: SwissBar Press, DTbarDL, BBrow",EMOM 10 min: PPress/DB Snatch,7120,,284.8,
122,2022-09-19,M,,2120,,132,,Bike (25 min),7213,,288.52,
,2022-09-20,Tu,,2008,,163,"Madcow W2D2: Weighted Rpushup, TBarDL, Rope FacePull","21/15/9 KBAm, burpee",8571,,342.84,
,2022-09-21,W,,1914,,155,,Bike (30 min),7912,,316.48,
